Spp,name
1,Common Ostrich
2,African Penguin
4,Great Crested Grebe
5,Black-necked Grebe
6,Little Grebe
8,Black-browed Albatross
13,Southern Giant-petrel
14,Pintado Petrel
16,Great-winged Petrel
19,Soft-plumaged Petrel
22,Antarctic Prion
25,Great Shearwater
26,Cory's Shearwater
28,Tropical Shearwater
29,Sooty Shearwater
30,European Storm-petrel
33,Wilson's Storm-petrel
39,Red-tailed Tropicbird
41,Pink-backed Pelican
42,Great White Pelican
43,Australian Gannet
44,Cape Gannet
47,White-breasted Cormorant
48,Cape Cormorant
49,Bank Cormorant
50,Reed Cormorant
51,Crowned Cormorant
52,African Darter
53,Greater Frigatebird
54,Grey Heron
55,Black-headed Heron
56,Goliath Heron
57,Purple Heron
58,Great Egret
59,Little Egret
60,Yellow-billed Egret
61,Cattle Egret
62,Squacco Heron
63,Green-backed Heron
64,Black Heron
65,Rufous-bellied Heron
66,Dwarf Bittern
67,Little Bittern
69,Black-crowned Night-Heron
70,White-backed Night-Heron
71,Eurasian Bittern
72,Hamerkop Hamerkop
73,Marabou Stork
74,African Openbill
75,Saddle-billed Stork
76,Yellow-billed Stork
77,Woolly-necked Stork
78,Abdim's Stork
79,Black Stork
80,White Stork
81,African Sacred Ibis
82,Southern Bald Ibis
83,Glossy Ibis
84,Hadeda Ibis
85,African Spoonbill
86,Greater Flamingo
87,Lesser Flamingo
88,Spur-winged Goose
89,Egyptian Goose
90,South African Shelduck
91,Knob-billed Duck
92,African Pygmy-Goose
93,Northern Shoveler
94,Cape Shoveler
95,African Black Duck
96,Yellow-billed Duck
97,Red-billed Teal
98,Cape Teal
99,Hottentot Teal
100,White-faced Duck
101,Fulvous Duck
102,Southern Pochard
103,Maccoa Duck
104,White-backed Duck
105,Secretarybird Secretarybird
106,Cape Vulture
107,White-backed Vulture
108,Lappet-faced Vulture
109,White-headed Vulture
110,Hooded Vulture
111,Egyptian Vulture
112,Palm-nut Vulture
113,Peregrine Falcon
114,Lanner Falcon
115,Eurasian Hobby
116,African Hobby
117,Red-necked Falcon
119,Amur Falcon
120,Red-footed Falcon
121,Dickinson's Kestrel
122,Greater Kestrel
123,Rock Kestrel
125,Lesser Kestrel
126,Pygmy Falcon
127,African Cuckoo Hawk
128,Black Kite
129,Yellow-billed Kite
130,Black-shouldered Kite
131,Bat Hawk
132,European Honey-buzzard
133,Verreaux's Eagle
134,Tawny Eagle
135,Steppe Eagle
136,Lesser Spotted Eagle
137,Wahlberg's Eagle
138,Long-crested Eagle
139,Booted Eagle
140,Ayres's Hawk-eagle
141,African Hawk-eagle
142,Martial Eagle
143,African Crowned Eagle
144,Lizard Buzzard
145,Brown Snake-eagle
146,Black-chested Snake-eagle
147,Southern Banded Snake-eagle
148,Western Banded Snake-eagle
149,African Fish-eagle
150,Bearded Vulture
151,Bateleur Bateleur
152,Jackal Buzzard
153,Augur Buzzard
154,Steppe Buzzard
155,Forest Buzzard
156,Rufous-chested Sparrowhawk
157,Ovambo Sparrowhawk
158,Little Sparrowhawk
159,Black Sparrowhawk
160,African Goshawk
